discount,ram_gb,storage_gb,storage_type,price_usd_$,old_price_usd_$
56%,8,8,HDD,146.4,333.33
53%,8,8,SSD,264.0,560.0
51%,4,4,SSD,87.73,178.67
44%,4,4,SSD,87.73,157.33
57%,8,8,HDD,159.73,370.67
20%,8,8,SSD,493.33,613.33
46%,8,8,SSD,159.73,293.33
43%,8,8,SSD,228.0,400.0
45%,16,16,HDD,234.67,426.67
3%,16,16,SSD,389.33,400.0
50%,4,4,SSD,132.8,266.67
56%,12,12,HDD,177.33,400.0
43%,8,8,HDD,151.47,264.0
25%,8,8,SSD,360.0,480.0
26%,4,4,SSD,119.73,162.67
47%,8,8,HDD,154.4,290.66
46%,8,8,SSD,173.07,319.73
36%,4,500,HDD,127.97,200.0
47%,16,16,HDD,213.31,400.0
11%,8,8,SSD,226.67,253.33
64%,8,8,HDD,133.25,373.33
44%,4,4,SSD,103.73,186.67
35%,16,16,HDD,173.07,266.4
32%,4,128,SSD,117.07,173.33
57%,4,128,SSD,120.0,280.0
38%,8,8,SSD,197.07,320.0
53%,4,500,HDD,125.33,266.66
39%,4,4,SSD,98.4,160.0
55%,4,128,SSD,120.0,266.67
54%,4,128,SSD,101.33,221.33
31%,8,8,HDD,133.07,192.0
53%,4,4,HDD,125.07,264.0
42%,4,4,SSD,106.4,184.0
44%,6,6,HDD,148.27,266.67
43%,16,16,SSD,320.0,560.0
40%,4,4,SSD,104.0,173.33
52%,4,4,SSD,87.73,184.0
44%,8,8,SSD,253.33,453.33
15%,16,16,SSD,453.07,533.33
38%,4,4,SSD,90.4,146.67
48%,8,8,SSD,228.0,440.0
43%,8,8,HDD,151.47,266.67
47%,4,4,SSD,85.07,160.0
32%,16,16,HDD,237.07,346.67
36%,4,4,SSD,120.0,186.67
53%,8,8,SSD,186.05,400.0
50%,8,8,HDD,146.64,293.33
48%,4,128,SSD,116.0,221.33
47%,4,4,SSD,92.0,173.33
54%,16,16,HDD,181.07,397.33
51%,4,4,SSD,87.73,178.67
38%,8,8,HDD,133.07,213.07
93%,8,8,SSD,168.0,2400.0
46%,4,4,SSD,85.07,157.33
41%,8,8,SSD,189.07,320.0
51%,8,8,HDD,130.67,266.67
45%,8,8,SSD,181.33,330.67
43%,8,8,SSD,159.73,280.0
67%,8,8,SSD,176.0,533.33
33%,4,4,SSD,133.33,200.0
37%,4,4,SSD,100.8,160.0
42%,8,8,SSD,156.77,272.0
31%,4,4,SSD,127.73,184.0
40%,8,8,SSD,238.67,400.0
14%,16,16,SSD,799.73,933.33
33%,16,16,HDD,177.33,266.37
50%,4,4,SSD,93.07,186.4
44%,8,8,SSD,157.07,280.0
21%,4,4,SSD,116.0,146.67
45%,4,4,SSD,95.73,173.33
51%,8,8,HDD,145.07,293.33
46%,8,8,HDD,157.07,290.67
34%,8,8,SSD,237.31,360.0
45%,4,4,SSD,96.0,173.33
41%,8,8,HDD,197.31,335.73
46%,8,8,SSD,159.73,293.33
45%,16,16,HDD,159.73,290.67
54%,8,8,HDD,146.4,320.0
55%,8,8,SSD,120.0,266.67
41%,16,16,HDD,186.4,317.33
54%,4,4,SSD,85.07,186.67
43%,8,8,HDD,114.4,200.0
53%,4,4,HDD,100.8,213.33
40%,4,4,SSD,106.4,178.67
46%,4,4,SSD,400.0,746.67
60%,8,8,HDD,147.9,373.33
48%,4,4,SSD,87.73,168.0
36%,16,16,HDD,186.4,290.67
63%,8,8,SSD,200.0,533.33
31%,8,8,HDD,138.67,200.0
50%,8,8,HDD,200.0,400.0
56%,4,4,SSD,117.33,266.67
49%,4,4,SSD,87.73,173.33
40%,8,8,HDD,159.73,266.4
31%,8,8,SSD,122.4,178.67
38%,12,12,HDD,197.07,320.0
31%,8,8,HDD,137.33,200.0
43%,8,8,HDD,150.93,266.67
25%,4,4,SSD,130.67,173.33
47%,4,4,SSD,133.33,253.33
59%,4,4,HDD,221.33,533.33
52%,4,4,HDD,128.0,266.4
40%,8,8,SSD,175.73,293.3
17%,16,6,SSD,1333.07,1600.0
32%,8,8,SSD,346.64,506.67
46%,12,12,HDD,173.07,320.0
36%,8,8,HDD,146.4,229.33
29%,4,64,SSD,85.07,120.0
51%,4,128,SSD,101.33,208.0
54%,8,8,SSD,207.73,453.33
25%,4,4,SSD,159.47,213.33
45%,8,8,SSD,159.73,290.67
58%,4,4,SSD,133.31,320.0
31%,4,4,SSD,119.73,173.33
48%,4,4,SSD,133.33,254.67
50%,8,8,HDD,119.72,240.0
35%,16,16,SSD,346.67,533.33
95%,4,64,SSD,85.07,1757.33
56%,8,8,HDD,159.73,360.0
45%,8,8,HDD,138.67,253.33
46%,8,8,SSD,242.29,450.67
58%,4,128,SSD,106.67,253.33
26%,16,16,SSD,593.87,800.0
64%,8,8,HDD,173.07,477.34
52%,4,4,SSD,85.07,178.67
39%,4,4,SSD,98.4,160.0
34%,4,4,SSD,114.67,173.33
50%,4,4,HDD,133.07,264.0
45%,4,4,SSD,87.73,159.73
52%,8,8,SSD,178.1,370.67
58%,4,4,SSD,106.4,253.34
48%,8,500,HDD,146.67,280.0
48%,8,8,SSD,208.0,400.0
45%,8,8,HDD,146.4,266.4
3%,8,8,SSD,426.67,440.0
26%,16,16,SSD,197.07,266.4
35%,8,8,SSD,173.07,266.4
43%,8,8,HDD,148.8,261.33
58%,4,4,SSD,95.73,229.07
43%,4,4,SSD,105.07,184.0
34%,8,8,SSD,333.33,506.67
47%,8,8,HDD,153.33,290.67
33%,8,8,HDD,133.07,200.0
38%,8,8,SSD,306.67,493.33
23%,16,16,SSD,346.4,450.66
12%,16,16,SSD,373.07,424.0
42%,4,128,SSD,101.33,173.33
54%,4,64,SSD,85.07,186.67
38%,8,8,SSD,412.0,666.67
57%,8,8,SSD,173.33,400.0
31%,8,8,SSD,184.0,266.67
57%,4,4,SSD,97.33,226.67
47%,8,8,SSD,197.07,373.33
48%,8,8,HDD,151.97,293.33
52%,4,4,SSD,87.73,184.0
54%,8,8,HDD,160.0,346.67
70%,8,8,HDD,159.73,530.67
33%,16,16,SSD,213.07,317.33
42%,4,4,SSD,101.33,173.33
48%,4,4,SSD,122.4,237.33
40%,16,16,SSD,400.0,666.67
53%,8,8,HDD,150.51,320.0
32%,16,16,SSD,450.67,666.67
45%,8,8,SSD,280.0,506.67
42%,16,16,SSD,279.73,480.0
44%,4,4,SSD,89.33,159.73
63%,8,8,HDD,128.0,346.67
14%,8,8,SSD,194.67,226.67
57%,4,4,SSD,125.33,293.33
55%,8,8,HDD,133.07,293.33
7%,16,16,SSD,373.07,400.0
27%,16,16,SSD,293.33,400.0
6%,4,4,SSD,125.33,133.33
41%,8,8,SSD,173.07,293.31
39%,8,8,HDD,145.65,239.73
48%,4,4,SSD,125.07,239.73
48%,4,4,SSD,95.73,184.0
31%,4,64,SSD,82.4,120.0
40%,16,16,HDD,175.73,293.33
31%,8,8,SSD,258.67,373.33
67%,4,4,SSD,114.4,344.0
29%,8,8,HDD,160.0,226.67
,4,4,SSD,266.67,
33%,8,8,SSD,139.2,208.0
50%,8,8,HDD,146.67,293.33
58%,8,8,HDD,157.07,370.67
54%,8,8,SSD,426.4,933.33
,8,8,SSD,933.33,
,8,8,SSD,479.73,
72%,8,8,HDD,184.0,666.66
46%,4,4,HDD,122.4,226.67
38%,16,16,SSD,159.73,258.67
29%,16,16,SSD,226.67,320.0
50%,8,8,SSD,186.4,373.33
52%,8,8,HDD,133.07,280.0
67%,8,8,SSD,178.4,533.33
46%,8,8,HDD,122.4,226.67
43%,8,8,HDD,133.07,234.67
53%,8,8,HDD,186.4,400.0
41%,8,8,SSD,237.07,400.0
50%,8,8,HDD,133.07,264.0
63%,8,8,SSD,200.0,533.33
20%,16,16,SSD,530.67,666.67
37%,16,16,SSD,586.67,933.33
35%,16,16,SSD,237.33,365.33
63%,8,8,SSD,159.74,426.64
51%,8,8,HDD,117.07,240.0
58%,8,8,HDD,146.4,346.4
61%,8,8,HDD,154.93,400.0
66%,8,8,HDD,137.87,400.0
32%,8,8,SSD,234.66,346.4
11%,16,16,SSD,712.27,800.0
26%,8,8,SSD,146.4,197.33
37%,4,4,SSD,92.0,146.67
22%,8,8,SSD,207.73,266.4
,16,16,SSD,1440.0,
58%,8,8,HDD,181.07,426.64
34%,16,16,SSD,317.33,480.0
48%,4,64,SSD,85.07,162.4
50%,8,8,SSD,158.93,320.0
10%,16,16,SSD,373.07,413.33
44%,4,4,SSD,133.07,237.33
46%,12,12,SSD,253.33,466.67
32%,16,16,SSD,346.67,506.67
7%,8,8,SSD,744.0,800.0
40%,8,8,SSD,159.73,266.4
49%,8,8,SSD,205.33,400.0
60%,8,8,HDD,157.07,397.33
62%,4,4,HDD,130.4,344.0
46%,8,8,HDD,159.73,293.33
40%,8,8,HDD,127.73,213.33
75%,16,16,SSD,333.33,1333.33
36%,4,256,SSD,168.0,261.33
39%,4,4,SSD,129.23,210.67
39%,16,16,HDD,218.67,360.0
16%,16,16,SSD,786.67,933.33
55%,8,500,HDD,174.67,384.0
49%,8,8,HDD,148.6,290.67
42%,16,16,HDD,212.0,365.33
42%,8,8,SSD,156.53,272.0
30%,8,8,SSD,253.07,360.0
54%,8,8,HDD,165.33,360.0
43%,8,8,SSD,156.27,272.0
45%,4,4,HDD,116.0,210.67
46%,16,16,SSD,170.66,317.34
52%,4,4,SSD,126.93,266.67
36%,8,8,SSD,146.4,229.33
50%,4,4,SSD,93.07,186.4
53%,8,8,SSD,207.82,440.0
48%,8,8,HDD,125.07,239.73
47%,8,8,HDD,138.4,263.2
40%,16,16,SSD,386.67,640.0
43%,8,8,SSD,197.07,346.67
50%,16,16,SSD,517.33,1040.0
15%,8,256,SSD,226.67,266.67
63%,4,4,SSD,106.4,290.67
52%,4,4,SSD,101.07,210.67
49%,8,8,SSD,190.67,373.33
51%,8,8,HDD,123.3,253.33
50%,8,8,HDD,133.07,264.0
43%,8,8,SSD,197.31,344.0
30%,8,8,SSD,373.07,533.07
19%,8,8,SSD,237.33,293.33
38%,8,8,SSD,213.07,344.0
50%,8,8,SSD,173.07,346.4
42%,8,8,SSD,186.4,320.0
49%,4,4,SSD,118.67,232.0
17%,16,16,SSD,666.67,800.0
27%,8,8,SSD,586.67,800.0
51%,4,4,SSD,143.97,293.33
44%,4,4,SSD,87.73,157.07
45%,16,16,HDD,204.0,373.33
26%,8,8,SSD,394.67,533.33
32%,8,8,SSD,325.33,480.0
34%,8,8,SSD,173.07,264.0
45%,4,4,SSD,117.33,213.33
51%,8,256,SSD,234.67,477.33
44%,8,8,SSD,194.31,346.4
19%,4,4,SSD,173.33,213.33
35%,16,16,SSD,346.67,533.33
72%,4,4,SSD,226.67,800.0
36%,8,8,SSD,682.67,1066.67
49%,8,8,SSD,266.4,520.0
45%,4,4,SSD,87.73,160.0
53%,4,4,SSD,138.4,293.33
64%,8,8,HDD,123.85,346.67
55%,8,8,SSD,178.64,400.0
46%,8,8,HDD,151.33,280.0
47%,4,64,SSD,85.07,160.0
53%,8,8,SSD,186.4,400.0
59%,4,4,SSD,120.0,293.33
43%,16,16,SSD,298.4,528.0
20%,8,128,SSD,213.07,266.67
60%,4,4,SSD,95.73,239.73
51%,8,8,HDD,183.76,373.33
99%,8,8,HDD,197.07,26666.67
54%,8,8,HDD,146.4,320.0
45%,16,16,SSD,264.0,480.0
52%,8,500,HDD,146.67,306.67
32%,4,4,SSD,112.8,165.33
62%,4,4,SSD,95.73,253.34
50%,4,128,SSD,104.0,208.0
48%,8,8,HDD,180.0,346.67
,16,16,SSD,2000.0,
42%,8,8,HDD,154.4,266.64
3%,8,8,SSD,194.67,200.0
51%,8,8,HDD,184.0,373.33
41%,16,16,SSD,520.0,880.0
12%,16,16,SSD,373.07,424.0
13%,16,16,SSD,440.0,504.0
48%,8,8,HDD,151.07,288.0
26%,8,8,HDD,192.0,258.67
37%,16,16,SSD,586.67,933.33
35%,8,8,SSD,295.73,453.33
52%,8,8,HDD,178.64,373.33
36%,8,8,SSD,333.33,522.67
44%,4,4,SSD,119.73,213.33
20%,8,8,SSD,210.4,264.0
47%,16,16,HDD,210.4,400.0
36%,8,8,SSD,333.33,520.0
35%,8,128,SSD,146.67,226.67
32%,12,12,HDD,218.67,320.0
27%,4,4,SSD,117.07,160.0
66%,8,8,HDD,146.67,426.66
31%,8,8,SSD,146.4,210.67
39%,4,4,SSD,130.67,213.33
43%,16,16,HDD,167.73,293.07
27%,16,16,SSD,213.07,290.67
50%,4,4,SSD,79.73,160.0
42%,8,8,HDD,151.6,261.33
31%,8,8,SSD,293.07,424.0
48%,8,500,HDD,140.0,266.67
48%,16,16,HDD,165.33,320.0
23%,8,8,SSD,204.0,266.64
47%,8,8,HDD,141.33,266.67
42%,4,4,SSD,103.73,178.67
58%,8,500,HDD,157.33,373.33
32%,16,16,SSD,245.33,360.0
54%,4,4,SSD,85.07,184.0
56%,8,8,HDD,165.33,373.33
30%,16,16,SSD,186.4,266.4
55%,8,500,HDD,130.67,293.33
33%,8,8,SSD,341.07,506.67
67%,8,8,SSD,293.07,877.34
44%,8,8,SSD,186.33,333.33
44%,16,16,SSD,466.67,826.67
26%,8,8,SSD,172.0,232.0
44%,8,8,SSD,293.33,520.0
52%,8,8,HDD,140.93,293.33
46%,8,8,HDD,186.4,346.67
47%,16,16,HDD,149.07,280.0
60%,4,4,SSD,95.73,239.73
55%,4,4,HDD,106.67,237.33
14%,4,4,HDD,253.33,293.33
45%,4,4,SSD,117.33,213.33
42%,4,64,SSD,85.07,146.67
47%,8,8,HDD,170.4,320.0
33%,4,4,SSD,213.07,320.0
,32,32,SSD,640.0,
47%,4,4,SSD,85.07,159.73
8%,8,8,SSD,386.67,418.67
48%,8,8,HDD,138.4,266.67
38%,8,8,HDD,181.07,290.67
27%,16,16,SSD,370.67,506.67
38%,4,128,SSD,133.07,213.07
57%,4,4,SSD,138.67,320.0
,8,8,HDD,213.33,
26%,16,16,SSD,594.13,800.0
11%,8,8,SSD,476.0,533.33
44%,8,8,HDD,194.67,346.67
38%,8,8,HDD,144.0,232.0
55%,8,8,HDD,149.07,328.0
58%,8,500,HDD,133.33,320.0
63%,8,8,HDD,157.33,424.0
53%,8,8,HDD,149.33,320.0
50%,4,4,SSD,133.33,266.66
27%,4,4,HDD,426.67,586.67
43%,8,8,SSD,154.4,272.0
67%,4,4,SSD,127.92,386.67
28%,16,16,SSD,346.67,480.0
58%,16,16,SSD,167.73,397.33
40%,12,12,HDD,159.73,266.4
46%,8,8,SSD,186.64,345.33
10%,16,16,SSD,346.4,386.67
67%,4,4,HDD,159.73,477.34
54%,8,8,HDD,146.67,320.0
46%,4,4,SSD,100.0,186.67
31%,4,4,SSD,119.73,173.33
40%,4,4,SSD,120.0,200.0
49%,4,4,SSD,85.07,165.33
46%,8,500,HDD,129.57,239.73
,16,16,SSD,1760.0,
46%,8,8,SSD,186.4,344.0
33%,8,8,SSD,339.75,506.67
15%,16,16,SSD,453.33,533.33
41%,8,8,SSD,173.07,293.33
50%,8,256,SSD,186.67,373.33
27%,8,8,HDD,165.33,226.67
37%,8,8,SSD,213.07,336.0
40%,4,4,SSD,122.4,202.67
48%,8,8,SSD,118.67,226.67
41%,4,4,SSD,157.33,266.67
,16,16,SSD,666.67,
14%,4,4,SSD,298.67,346.67
34%,8,8,SSD,220.92,333.33
23%,8,8,SSD,143.73,186.67
45%,8,8,HDD,146.4,266.4
64%,4,4,SSD,95.73,264.0
50%,8,8,HDD,154.67,306.67
39%,8,8,SSD,146.67,240.0
26%,4,4,SSD,128.0,173.33
65%,6,6,HDD,159.73,450.66
64%,4,4,SSD,95.73,266.4
43%,8,8,HDD,151.73,266.4
3%,8,8,SSD,362.67,373.33
54%,8,8,SSD,159.73,344.0
49%,8,8,SSD,222.67,440.0
29%,8,8,HDD,122.67,173.33
59%,4,4,SSD,93.33,226.67
46%,8,8,SSD,261.33,488.0
44%,8,8,SSD,157.07,280.0
46%,8,8,SSD,200.0,370.67
43%,4,4,SSD,106.4,186.67
46%,4,4,HDD,100.0,184.0
44%,8,8,SSD,149.07,266.4
9%,4,128,SSD,181.07,200.0
22%,16,16,SSD,373.07,480.0
10%,16,16,SSD,373.07,413.33
43%,4,4,SSD,92.0,160.0
58%,4,4,SSD,96.0,226.67
47%,8,8,SSD,239.73,453.33
40%,16,16,HDD,192.0,320.0
36%,16,16,SSD,560.0,880.0
60%,4,128,SSD,106.4,264.0
60%,4,4,SSD,105.33,266.4
22%,4,4,SSD,176.0,226.67
40%,8,8,SSD,159.73,266.4
40%,8,8,HDD,159.73,266.4
40%,8,8,HDD,159.73,266.67
42%,4,4,HDD,185.6,320.0
38%,8,8,SSD,229.07,370.67
42%,8,8,SSD,624.0,1066.67
52%,16,16,HDD,178.4,373.31
57%,16,16,SSD,400.0,933.33
40%,8,8,HDD,159.73,266.4
33%,8,8,SSD,266.67,400.0
47%,4,64,SSD,85.07,160.0
52%,4,256,SSD,127.73,266.67
61%,4,4,SSD,146.67,373.33
33%,8,8,SSD,140.0,208.0
24%,8,8,SSD,173.07,226.67
,16,16,SSD,960.0,
29%,8,8,SSD,530.67,746.67
43%,8,8,HDD,126.67,224.0
27%,16,16,SSD,293.33,400.0
40%,4,4,SSD,95.73,160.0
50%,8,8,SSD,213.07,426.67
59%,8,8,HDD,186.4,450.66
39%,4,128,SSD,106.4,173.33
13%,8,8,SSD,1733.33,2000.0
21%,8,8,SSD,146.64,186.67
41%,4,4,SSD,157.07,266.67
25%,8,8,HDD,139.47,186.67
37%,8,8,SSD,194.64,306.67
11%,16,16,HDD,213.33,240.0
22%,8,8,SSD,206.67,266.4
55%,8,8,HDD,167.73,373.33
55%,8,8,SSD,240.0,533.33
44%,8,8,HDD,148.53,266.67
36%,4,4,SSD,149.07,232.0
42%,4,4,SSD,106.4,183.73
46%,4,4,SSD,159.73,293.33
37%,8,8,SSD,168.0,266.67
35%,8,8,SSD,346.4,533.33
51%,4,4,SSD,104.0,213.33
25%,8,8,HDD,150.67,200.0
,16,16,SSD,453.07,
33%,16,16,HDD,176.53,264.0
16%,8,8,HDD,224.0,266.67
46%,4,4,SSD,101.07,186.67
27%,8,8,SSD,586.67,800.0
24%,8,8,SSD,173.07,226.67
59%,8,8,SSD,264.0,640.0
56%,8,8,HDD,146.67,333.33
15%,8,8,SSD,338.67,400.0
29%,4,128,SSD,152.0,213.33
41%,8,8,HDD,157.07,264.0
47%,4,4,SSD,120.0,226.67
41%,4,4,SSD,106.4,181.33
24%,8,8,SSD,202.4,266.4
39%,8,8,SSD,213.07,352.0
48%,4,4,HDD,125.07,239.73
59%,8,8,SSD,186.65,453.33
48%,8,8,SSD,133.33,256.0
45%,8,8,HDD,181.33,330.67
45%,12,12,HDD,175.2,320.0
19%,8,8,SSD,194.67,240.0
52%,4,500,HDD,128.0,266.67
25%,4,4,SSD,119.73,159.73
40%,8,8,SSD,159.73,266.4
42%,8,8,SSD,154.67,266.67
33%,16,16,SSD,320.0,480.0
44%,16,16,SSD,600.0,1066.67
12%,16,16,SSD,400.0,453.33
41%,16,16,HDD,172.27,293.33
41%,8,8,HDD,156.0,264.0
72%,8,8,HDD,186.4,666.66
,8,8,SSD,320.0,
52%,8,8,SSD,154.4,320.0
64%,4,4,SSD,95.73,264.0
58%,16,16,SSD,314.67,746.67
51%,8,8,HDD,175.79,360.0
44%,16,16,SSD,373.07,666.67
36%,4,4,SSD,119.73,186.4
45%,16,16,SSD,266.4,480.0
50%,16,16,HDD,165.07,333.33
33%,8,8,HDD,133.07,197.33
46%,12,12,HDD,200.0,373.33
57%,4,4,SSD,127.19,293.33
21%,8,8,SSD,168.0,213.33
33%,16,16,SSD,1424.0,2133.33
47%,8,8,SSD,213.07,400.0
46%,4,4,SSD,93.07,173.33
48%,8,8,SSD,230.8,440.0
,16,16,HDD,506.67,
1%,8,8,HDD,197.33,200.0
47%,8,8,HDD,141.33,266.67
54%,8,8,SSD,344.0,746.67
30%,8,8,SSD,184.0,264.0
27%,4,128,SSD,87.73,120.0
46%,8,8,HDD,144.0,266.67
59%,8,8,HDD,184.0,453.33
48%,4,4,SSD,90.4,173.33
46%,8,8,HDD,159.73,293.33
62%,8,8,HDD,130.4,344.0
17%,8,8,SSD,166.67,200.0
94%,8,8,SSD,505.33,8000.0
47%,8,8,SSD,322.67,613.33
35%,8,8,SSD,173.07,266.4
19%,8,8,SSD,173.07,213.33
50%,16,16,HDD,146.4,290.67
46%,4,4,SSD,93.33,173.33
53%,4,4,SSD,120.0,253.33
59%,8,8,HDD,146.66,360.0
46%,8,8,SSD,173.33,320.0
37%,4,4,SSD,117.87,186.67
40%,8,8,SSD,400.0,666.67
30%,8,8,SSD,232.0,333.33
45%,8,8,SSD,293.33,533.33
47%,8,8,SSD,197.33,373.33
43%,8,8,SSD,181.07,320.0
50%,8,8,SSD,319.73,640.0
55%,4,500,HDD,133.3,293.33
46%,8,8,SSD,157.07,293.33
29%,12,12,HDD,266.67,373.33
47%,8,8,SSD,213.07,400.0
44%,8,8,SSD,156.53,277.33
55%,16,16,SSD,239.73,533.3
58%,8,500,HDD,213.07,506.67
46%,4,256,SSD,143.73,264.0
27%,4,128,SSD,87.73,120.0
52%,8,8,HDD,126.67,266.66
38%,8,8,SSD,412.0,666.67
,16,16,SSD,1002.77,
51%,8,8,SSD,264.0,533.33
23%,4,4,SSD,133.07,173.33
29%,4,64,SSD,85.07,120.0
63%,4,128,SSD,93.33,253.33
35%,8,8,SSD,346.4,533.33
13%,16,16,SSD,373.07,426.67
44%,8,8,SSD,156.0,277.33
21%,16,16,SSD,317.33,400.0
18%,8,8,SSD,173.07,210.67
47%,4,4,SSD,85.07,160.0
55%,8,8,HDD,133.33,293.33
60%,8,8,HDD,144.0,360.0
20%,8,8,SSD,160.0,200.0
48%,8,8,SSD,194.4,373.33
43%,4,128,SSD,106.4,186.66
46%,4,4,SSD,85.07,157.33
12%,16,16,SSD,944.0,1066.67
51%,8,8,HDD,130.67,266.67
51%,4,4,SSD,117.33,240.0
33%,8,8,SSD,125.07,186.4
37%,8,8,SSD,125.07,200.0
45%,4,4,SSD,87.73,160.0
,8,8,HDD,200.0,
47%,4,4,SSD,120.0,226.67
8%,8,512,SSD,1173.33,1280.0
13%,8,512,SSD,1280.0,1466.67
39%,8,8,SSD,242.4,397.33
42%,4,4,SSD,92.0,157.33
38%,8,8,HDD,165.33,266.4
15%,8,8,HDD,146.67,173.33
54%,8,8,HDD,121.81,264.0
74%,8,8,HDD,125.07,480.0
53%,8,8,SSD,493.33,1040.0
52%,4,4,HDD,122.4,255.73
50%,4,4,SSD,119.73,240.0
53%,4,500,HDD,125.31,266.66
23%,32,32,SSD,1026.67,1333.33
50%,8,8,HDD,186.64,373.33
22%,8,8,SSD,312.0,400.0
15%,16,16,SSD,906.67,1066.67
60%,8,8,HDD,149.07,373.33
36%,8,8,HDD,128.0,200.0
45%,8,8,HDD,146.64,266.4
24%,16,16,SSD,1199.73,1573.33
55%,8,8,HDD,154.64,344.0
62%,8,8,HDD,213.07,560.0
,8,8,HDD,440.0,
54%,8,8,HDD,146.67,320.0
7%,12,12,SSD,445.33,480.0
34%,16,16,SSD,253.33,386.67
,16,16,SSD,1200.0,
44%,8,8,HDD,141.33,253.33
34%,8,8,HDD,141.33,213.33
43%,4,4,SSD,130.11,226.67
17%,8,8,SSD,200.0,240.0
45%,8,8,HDD,146.13,266.67
47%,4,4,SSD,85.07,159.73
44%,8,8,HDD,129.33,229.33
