year,month,Description,Quantity,Total_revenue
2010,12,ASSORTED TUTTI FRUTTI LARGE PURSE,33,69.30000000000001
2010,12,ASSORTED TUTTI FRUTTI MIRROR,19,23.75
2010,12,ASSORTED TUTTI FRUTTI NOTEBOOK,23,48.300000000000004
2010,12,ASSORTED TUTTI FRUTTI PEN,13,11.05
2010,12,ASSORTED TUTTI FRUTTI SMALL PURSE,193,218.45
2010,12,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,144,60.48
2010,12,ASSTD DESIGN 3D PAPER STICKERS,366,119.1
2010,12,ASSTD DESIGN RACING CAR PEN,65,109.85
2010,12,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,13.200000000000001
2010,12,ASSTD MULTICOLOUR CIRCLES MUG,102,50.46
2010,12,BABUSHKA LIGHTS STRING OF 10,50,337.5
2010,12,BABY BOOM RIBBONS ,23,28.75
2010,12,BAG 125g SWIRLY MARBLES,362,146.28
2010,12,BAG 250g SWIRLY MARBLES,384,288.96
2010,12,BAG 500g SWIRLY MARBLES,20,33.0
2010,12,BAG OF SILVER STONES,4,1.68
2010,12,BAKING MOULD CHOCOLATE CUP CAKES,12,30.599999999999998
2010,12,BAKING MOULD CHOCOLATE CUPCAKES,107,272.84999999999997
2010,12,BAKING MOULD CUPCAKE CHOCOLATE,12,30.599999999999998
2010,12,BAKING MOULD EASTER EGG MILK CHOC,26,76.70000000000002
2010,12,BAKING MOULD EASTER EGG WHITE CHOC,27,79.65
2010,12,BAKING MOULD HEART MILK CHOCOLATE,150,350.1
2010,12,BAKING MOULD HEART WHITE CHOCOLATE,115,260.85
2010,12,BAKING MOULD ROSE MILK CHOCOLATE,103,298.75
2010,12,BAKING MOULD ROSE WHITE CHOCOLATE,9,29.25
2010,12,BAKING MOULD TOFFEE CUP  CHOCOLATE,6,15.299999999999999
2010,12,BAKING MOULD TOFFEE CUP CHOCOLATE,89,194.55
2010,12,BAKING SET 9 PIECE RETROSPOT ,15,74.25
2010,12,BAKING SET SPACEBOY DESIGN,178,809.7
2010,12,BALLOON ART MAKE YOUR OWN FLOWERS,22,42.9
2010,12,BALLOON PUMP WITH 10 BALLOONS,40,78.0
2010,12,BALLOON WATER BOMB PACK OF 35,105,44.1
2010,12,BALLOONS  WRITING SET ,53,87.44999999999999
2010,12,BANK ACCOUNT  GREETING  CARD ,36,15.120000000000001
2010,12,BANQUET BIRTHDAY  CARD  ,48,20.16
2010,12,BASKET OF FLOWERS SEWING KIT,120,102.0
2010,12,BASKET OF TOADSTOOLS,25,31.25
2010,12,BATH BUILDING BLOCK WORD,72,432.3
2010,12,BATHROOM METAL SIGN,206,113.30000000000001
2010,12,BATHROOM METAL SIGN ,27,39.15
2010,12,BATHROOM SCALES FOOTPRINTS IN SAND,3,11.25
2010,12,BATHROOM SCALES RUBBER DUCKS,1,3.75
2010,12,"BATHROOM SCALES, TROPICAL BEACH",2,7.5
2010,12,BATHROOM SET LOVE HEART DESIGN,1,2.95
2010,12,BEACH HUT DESIGN BLACKBOARD,6,25.5
2010,12,BEACH HUT KEY CABINET,3,11.25
2010,12,BEADED CRYSTAL HEART BLUE SMALL,26,32.5
2010,12,BEADED CRYSTAL HEART GREEN LARGE,12,19.799999999999997
2010,12,BEADED CRYSTAL HEART GREEN SMALL,20,25.0
2010,12,BEADED CRYSTAL HEART PINK LARGE,6,9.9
2010,12,BEADED CRYSTAL HEART PINK SMALL,15,18.75
2010,12,BEADED LOVE HEART JEWELLERY SET,10,8.5
2010,12,BEADED PEARL HEART WHITE LARGE,27,44.55
2010,12,BEADED PEARL HEART WHITE ON STICK,48,60.0
2010,12,BEWARE OF THE CAT METAL SIGN ,248,407.6
2010,12,BIG DOUGHNUT FRIDGE MAGNETS,224,190.39999999999998
2010,12,BINGO SET,109,395.79
2010,12,BIRD BOX CHRISTMAS TREE DECORATION,22,18.7
2010,12,BIRD DECORATION RED RETROSPOT,61,51.849999999999994
2010,12,BIRD HOUSE HOT WATER BOTTLE,71,181.04999999999998
2010,12,BIRDCAGE DECORATION TEALIGHT HOLDER,36,40.44
2010,12,BIRDHOUSE DECORATION MAGIC GARDEN,12,15.0
2010,12,BIRDHOUSE GARDEN MARKER ,5,6.25
2010,12,BIRDS MOBILE VINTAGE DESIGN,3,17.85
2010,12,BIRTHDAY BANNER TAPE,24,30.0
2010,12,BIRTHDAY BANQUET GIFT WRAP,50,21.0
2010,12,"BIRTHDAY CARD, RETRO SPOT",60,25.2
2010,12,BIRTHDAY PARTY CORDON BARRIER TAPE,99,123.75
2010,12,BISCUIT TIN VINTAGE GREEN,12,81.0
2010,12,BISCUIT TIN VINTAGE RED,31,209.25
2010,12,BISCUITS SMALL BOWL LIGHT BLUE,4,5.0
2010,12,BLACK AND WHITE CAT BOWL,171,115.50000000000001
2010,12,BLACK AND WHITE DOG BOWL,153,148.95
2010,12,BLACK BAROQUE WALL CLOCK ,1,12.75
2010,12,BLACK CANDELABRA T-LIGHT HOLDER,297,362.1
2010,12,BLACK CHAMPAGNE GLASS,20,33.0
2010,12,BLACK CHRISTMAS FLOCK DROPLET ,24,30.0
2010,12,BLACK CHRISTMAS TREE 120CM,1,8.49
2010,12,BLACK CHRISTMAS TREE 60CM,30,33.300000000000004
2010,12,BLACK DIAMANTE EXPANDABLE RING,3,12.75
2010,12,BLACK DINER WALL CLOCK,4,34.0
2010,12,BLACK EAR MUFF HEADPHONES,25,127.17000000000002
2010,12,BLACK ENCHANTED FOREST PLACEMAT,136,200.4
2010,12,BLACK FINE BEAD NECKLACE W TASSEL,1,5.95
2010,12,BLACK FLOWER CANDLE PLATE,1,0.85
2010,12,BLACK GEMSTONE BRACELET,2,17.9
2010,12,BLACK GEMSTONE NECKLACE 45CM,2,25.5
2010,12,BLACK GRAND BAROQUE PHOTO FRAME,33,50.25
2010,12,BLACK HEART CARD HOLDER,2153,5157.79
2010,12,BLACK KITCHEN SCALES,34,289.0
2010,12,BLACK LOVE BIRD CANDLE,99,83.91
2010,12,BLACK LOVE BIRD T-LIGHT HOLDER,111,146.25
2010,12,BLACK MEDIUM GLASS CAKE STAND,2,7.5
2010,12,BLACK MINI TAPE MEASURE ,105,76.25
2010,12,BLACK ORANGE SQUEEZER,13,5.46
2010,12,BLACK PIRATE TREASURE CHEST,9,14.85
2010,12,BLACK RECORD COVER FRAME,1838,6248.82
2010,12,BLACK SILOUETTE CANDLE PLATE,16,13.6
2010,12,BLACK SMALL GLASS CAKE STAND,1,1.95
2010,12,BLACK STITCHED WALL CLOCK,140,175.0
2010,12,BLACK SWEETHEART BRACELET,15,63.75
2010,12,BLACK TEA TOWEL CLASSIC DESIGN,81,81.33
2010,12,"BLACK TEA,COFFEE,SUGAR JARS",26,42.7
2010,12,BLACK WINE GLASS,24,39.599999999999994
2010,12,BLACK+WHITE NECKLACE W TASSEL,1,9.95
2010,12,BLACK/BLUE POLKADOT UMBRELLA,65,386.75
2010,12,BLACKCHRISTMAS TREE 30CM,1,1.25
2010,12,BLOSSOM IMAGES GIFT WRAP SET,48,100.80000000000001
2010,12,BLOSSOM IMAGES SCRAP BOOK SET,1,4.95
2010,12,BLUE  DIAMANTE PEN IN GIFT BOX,7,34.65
2010,12,BLUE  TILE HOOK,1,2.55
2010,12,BLUE & WHITE BREAKFAST TRAY,1,5.95
2010,12,BLUE 3 PIECE POLKADOT CUTLERY SET,179,645.33
2010,12,BLUE BIRDHOUSE DECORATION,16,13.6
2010,12,BLUE BLOSSOM HAIR CLIP,15,15.750000000000002
2010,12,BLUE BREAKFAST CUP AND SAUCER ,2,5.9
2010,12,BLUE CALCULATOR RULER,17,21.25
2010,12,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,9,26.550000000000004
2010,12,BLUE CHENILLE SHAGGY CUSHION COVER ,2,3.9
2010,12,BLUE CIRCLES DESIGN MONKEY DOLL,6,15.299999999999999
2010,12,BLUE CIRCLES DESIGN TEDDY,4,10.2
2010,12,BLUE COAT RACK PARIS FASHION,49,242.55
2010,12,BLUE DAISY MOBILE,24,20.4
2010,12,BLUE DINER WALL CLOCK,28,238.0
2010,12,BLUE DRAGONFLY HELICOPTER,19,151.05
2010,12,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,142,177.5
2010,12,BLUE EGG  SPOON,48,20.16
2010,12,BLUE FELT EASTER EGG BASKET,42,69.3
2010,12,BLUE FLOCK CUSHION COVER ,2,7.5
2010,12,BLUE FLOCK GLASS CANDLEHOLDER,6,9.899999999999999
2010,12,BLUE FLY SWAT,3,1.9500000000000002
2010,12,BLUE GEISHA GIRL ,6,22.5
2010,12,BLUE GIANT GARDEN THERMOMETER,23,136.85
2010,12,BLUE GINGHAM ROSE CUSHION COVER,2,11.9
2010,12,BLUE GLASS CHUNKY CHARM BRACELET,2,17.9
2010,12,BLUE GREEN EMBROIDERY COSMETIC BAG,1,2.95
2010,12,BLUE HAPPY BIRTHDAY BUNTING,77,379.65000000000003
2010,12,BLUE HARMONICA IN BOX ,579,723.75
2010,12,BLUE HEART COMPACT MIRROR,6,22.5
2010,12,BLUE JUICY FRUIT PHOTO FRAME,22,56.099999999999994
2010,12,BLUE KNITTED EGG COSY,5,9.75
2010,12,BLUE KNITTED HEN ,2,3.3
2010,12,BLUE LEAVES AND BEADS PHONE CHARM,1,1.25
2010,12,BLUE NETTING STORAGE HANGER,1,1.95
2010,12,BLUE NEW BAROQUE CANDLESTICK CANDLE,94,176.5
2010,12,BLUE NEW BAROQUE FLOCK CANDLESTICK,1,4.65
2010,12,BLUE ORGANDY ROUND LAMPSHADE W BEA,1,0.85
2010,12,BLUE OWL SOFT TOY,22,64.9
2010,12,BLUE PAISLEY JOURNAL ,4,10.2
2010,12,BLUE PAISLEY NOTEBOOK,17,28.049999999999997
2010,12,BLUE PAISLEY POCKET BOOK,17,14.45
2010,12,BLUE PAISLEY SKETCHBOOK,10,37.5
2010,12,BLUE PAISLEY TISSUE BOX,28,35.0
2010,12,BLUE PAPER PARASOL ,2,5.9
2010,12,BLUE PARTY BAGS ,177,330.7
2010,12,BLUE PATCH PURSE PINK HEART,51,84.15
2010,12,BLUE POLKADOT BOWL,134,153.82
2010,12,BLUE POLKADOT COFFEE MUG,6,12.600000000000001
2010,12,BLUE POLKADOT CUP,80,68.0
2010,12,BLUE POLKADOT EGG CUP ,12,15.0
2010,12,BLUE POLKADOT GARDEN PARASOL,1,7.95
2010,12,BLUE POLKADOT KIDS BAG,12,23.4
2010,12,BLUE POLKADOT LUGGAGE TAG ,2,2.5
2010,12,BLUE POLKADOT PASSPORT COVER,5,10.5
2010,12,BLUE POLKADOT PLATE ,135,205.10999999999999
2010,12,BLUE POLKADOT PUDDING BOWL,16,33.6
2010,12,BLUE POLKADOT PURSE ,1,2.95
2010,12,BLUE POLKADOT WASHING UP GLOVES,51,107.10000000000001
2010,12,BLUE POLKADOT WRAP,500,190.0
2010,12,BLUE POT PLANT CANDLE ,1,3.75
2010,12,BLUE PUDDING SPOON,13,5.46
2010,12,BLUE ROSE FABRIC MIRROR,15,18.75
2010,12,BLUE ROSE PATCH PURSE PINK BUTTERFL,11,18.15
2010,12,BLUE ROUND COMPACT MIRROR,29,48.75
2010,12,BLUE SCANDINAVIAN PAISLEY WRAP,100,42.0
2010,12,BLUE SHARK HELICOPTER,2,15.9
2010,12,BLUE SPOT CERAMIC DRAWER KNOB,312,313.2
2010,12,BLUE STRIPE CERAMIC DRAWER KNOB,132,165.0
2010,12,BLUE SWEETHEART BRACELET,18,76.5
2010,12,BLUE TEA TOWEL CLASSIC DESIGN,52,65.0
2010,12,BLUE TEATIME PRINT BOWL ,10,12.5
2010,12,BLUE TILED TRAY,1,6.75
2010,12,BLUE TRAVEL FIRST AID KIT,1,1.65
2010,12,BLUE TV TRAY TABLE ,2,8.5
2010,12,BLUE WIRE SPIRAL CANDLE HOLDER,4,25.4
2010,12,BLUE/CREAM STRIPE CUSHION COVER ,24,30.0
2010,12,BLUE/GREEN SHELL NECKLACE W PENDANT,1,5.95
2010,12,BLUE/YELLOW FLOWER DESIGN BIG MUG,1,1.95
2010,12,BOHEMIAN COLLAGE STATIONERY SET,2,5.9
2010,12,BOOM BOX SPEAKER BOYS,20,119.00000000000001
2010,12,BOOM BOX SPEAKER GIRLS,125,179.75
2010,12,BOOZE & WOMEN GREETING CARD ,48,20.16
2010,12,BOTANICAL LAVENDER BIRTHDAY CARD,12,5.04
2010,12,BOTANICAL LILY GREETING CARD,12,5.04
2010,12,BOTANICAL ROSE GIFT WRAP,25,10.5
2010,12,BOTANICAL ROSE GREETING CARD,48,20.16
2010,12,BOTTLE BAG RETROSPOT ,117,120.7
2010,12,BOUDOIR SQUARE TISSUE BOX,39,48.75
2010,12,BOX OF 24 COCKTAIL PARASOLS,776,300.92
2010,12,BOX OF 6 ASSORTED COLOUR TEASPOONS,27,114.75
2010,12,BOX OF 9 PEBBLE CANDLES,49,95.55
2010,12,BOX OF VINTAGE ALPHABET BLOCKS,328,2863.4
2010,12,BOX OF VINTAGE JIGSAW BLOCKS ,84,401.8
2010,12,BOYS VINTAGE TIN SEASIDE BUCKET,28,71.39999999999999
2010,12,BREAD BIN DINER STYLE IVORY,44,681.8
2010,12,BREAD BIN DINER STYLE MINT,13,204.35
2010,12,BREAD BIN DINER STYLE PINK,34,524.3
2010,12,BREAD BIN DINER STYLE RED ,32,502.4
2010,12,"BREAD BIN, DINER STYLE, IVORY",4,59.8
2010,12,"BREAD BIN, DINER STYLE, MINT",4,59.8
2010,12,BRIGHT BLUES RIBBONS ,60,75.0
2010,12,BROCADE RING PURSE ,1119,198.99
2010,12,BROCANTE COAT RACK,29,271.15
2010,12,BROCANTE SHELF WITH HOOKS,8,86.0
2010,12,BROWN  PIRATE TREASURE CHEST ,13,21.449999999999996
2010,12,BROWN CHECK CAT DOORSTOP ,17,72.25
2010,12,BUNNY WOODEN PAINTED WITH BIRD ,2,1.7
2010,12,BUNNY WOODEN PAINTED WITH FLOWER ,1,0.85
2010,12,BUTTERFLIES STICKERS,54,45.9
2010,12,BUTTERFLY CROCHET FOOD COVER,14,52.5
2010,12,BUTTON BOX ,59,115.05
2010,12,BUTTONS AND STRIPES NOTEBOOK ,3,11.25
2010,12,Bank Charges,1,15.0
2010,12,CABIN BAG VINTAGE PAISLEY,19,362.65
2010,12,CABIN BAG VINTAGE RETROSPOT,68,1004.6
2010,12,CACTI T-LIGHT CANDLES,384,161.28
2010,12,CAKE PLATE LOVEBIRD PINK,111,225.45
2010,12,CAKE PLATE LOVEBIRD WHITE,222,486.9
2010,12,CAKE SHOP  STICKER SHEET,13,11.049999999999999
2010,12,CAKE STAND 3 TIER MAGIC GARDEN,29,348.15
2010,12,CAKE STAND LACE WHITE,1,4.25
2010,12,CAKE STAND LOVEBIRD 2 TIER PINK,4,39.8
2010,12,CAKE STAND LOVEBIRD 2 TIER WHITE,1,9.95
2010,12,CAKE STAND VICTORIAN FILIGREE LARGE,2,17.0
2010,12,CAKE STAND VICTORIAN FILIGREE MED,10,67.5
2010,12,CAKE STAND WHITE TWO TIER LACE,11,93.5
2010,12,CAKES AND BOWS GIFT  TAPE,266,62.5
2010,12,CAKES AND RABBITS DESIGN FLANNEL ,2,1.7
2010,12,"CAKESTAND, 3 TIER, LOVEHEART",2,19.9
2010,12,CALENDAR FAMILY FAVOURITES,41,120.95
2010,12,CALENDAR IN SEASON DESIGN,24,70.80000000000001
2010,12,CALENDAR PAPER CUT DESIGN,91,268.45000000000005
2010,12,CAMOUFLAGE DESIGN TEDDY,100,211.8
2010,12,CAMOUFLAGE EAR MUFF HEADPHONES,18,98.82
2010,12,CAMOUFLAGE LED TORCH,378,598.02
2010,12,CAMPHOR WOOD PORTOBELLO MUSHROOM,11,13.75
2010,12,CANDLE PLATE LACE WHITE,35,89.25
2010,12,CANDLEHOLDER PINK HANGING HEART,191,550.6500000000001
2010,12,CANDY SHOP  STICKER SHEET,51,43.349999999999994
2010,12,CANDY SPOT HEART DECORATION,1,0.85
2010,12,CANNABIS LEAF BEAD CURTAIN,24,20.4
2010,12,CARAVAN SQUARE TISSUE BOX,23,28.75
2010,12,CARD BILLBOARD FONT,252,105.84
2010,12,CARD BIRTHDAY COWBOY,48,20.16
2010,12,CARD CAT AND TREE ,168,66.24
2010,12,CARD CHRISTMAS VILLAGE,312,131.04
2010,12,CARD CIRCUS PARADE,156,65.52
2010,12,CARD DOG AND BALL ,36,15.120000000000001
2010,12,CARD DOLLY GIRL ,72,30.24
2010,12,CARD GINGHAM ROSE ,48,20.16
2010,12,CARD HOLDER GINGHAM HEART,50,127.49999999999999
