Description,AvgMonthlySales,AvgDailySales,SalesStdDev,SafetyStock,LeadTimeDemand,ReorderPoint,AnnualDemand,EOQ
12 RED ROSE PEG PLACE SETTINGS,30.77,1.0256666666666667,23.92,27,14.36,41.0,369.24,136.0
15 PINK FLUFFY CHICKS IN BOX,2.5,0.08333333333333333,2.38,3,1.17,4.0,30.0,39.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,140.67,4.688999999999999,203.96,229,65.65,295.0,1688.04,291.0
16 PC CUTLERY SET PANTRY DESIGN,4.0,0.13333333333333333,,0,1.87,2.0,48.0,49.0
16 PIECE CUTLERY SET PANTRY DESIGN,23.33,0.7776666666666666,23.33,26,10.89,37.0,279.96,118.0
18PC WOODEN CUTLERY SET DISPOSABLE,100.6,3.353333333333333,136.89,154,46.95,201.0,1207.1999999999998,246.0
2 DAISIES HAIR COMB,6.0,0.2,,0,2.8,3.0,72.0,60.0
2 PICTURE BOOK EGGS EASTER BUNNY,31.6,1.0533333333333335,24.01,27,14.75,42.0,379.20000000000005,138.0
2 PICTURE BOOK EGGS EASTER CHICKS,32.2,1.0733333333333335,31.64,36,15.03,51.0,386.40000000000003,139.0
2 PICTURE BOOK EGGS EASTER DUCKS,23.0,0.7666666666666667,14.37,16,10.73,27.0,276.0,117.0
20 DOLLY PEGS RETROSPOT,197.33,6.577666666666667,195.48,220,92.09,312.0,2367.96,344.0
200 BENDY SKULL STRAWS,53.17,1.7723333333333333,76.7,86,24.81,111.0,638.04,179.0
200 RED + WHITE BENDY STRAWS,58.54,1.9513333333333334,36.18,41,27.32,68.0,702.48,187.0
3 BIRDS CANVAS SCREEN,1.0,0.03333333333333333,0.0,0,0.47,0.0,12.0,24.0
3 BLACK CATS W HEARTS BLANK CARD,12.0,0.4,8.49,10,5.6,16.0,144.0,85.0
3 DRAWER ANTIQUE WHITE WOOD CABINET,143.0,4.766666666666667,101.71,114,66.73,181.0,1716.0,293.0
3 GARDENIA MORRIS BOXED CANDLES,44.73,1.4909999999999999,98.25,110,20.87,131.0,536.76,164.0
3 HEARTS HANGING DECORATION RUSTIC,241.25,8.041666666666666,293.63,330,112.58,443.0,2895.0,380.0
3 HOOK HANGER MAGIC GARDEN,161.7,5.39,94.68,106,75.46,181.0,1940.3999999999999,311.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,132.54,4.418,123.72,139,61.85,201.0,1590.48,282.0
3 PIECE SPACEBOY COOKIE CUTTER SET,193.38,6.446,123.69,139,90.24,229.0,2320.56,341.0
3 PINK HEN+CHICKS IN BASKET,3.0,0.1,1.63,2,1.4,3.0,36.0,42.0
3 RAFFIA RIBBONS 50'S CHRISTMAS ,448.0,14.933333333333334,269.55,303,209.07,512.0,5376.0,518.0
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,169.75,5.658333333333333,129.62,146,79.22,225.0,2037.0,319.0
3 ROSE MORRIS BOXED CANDLES,107.2,3.5733333333333333,182.82,205,50.03,255.0,1286.4,254.0
3 STRIPEY MICE FELTCRAFT,224.85,7.495,96.96,109,104.93,214.0,2698.2,367.0
3 TIER CAKE TIN GREEN AND CREAM,28.0,0.9333333333333333,19.43,22,13.07,35.0,336.0,130.0
3 TIER CAKE TIN RED AND CREAM,54.33,1.811,44.39,50,25.35,75.0,651.96,181.0
3 TIER SWEETHEART GARDEN SHELF,4.58,0.15266666666666667,3.06,3,2.14,5.0,54.96,52.0
3 TRADITIONAL COOKIE CUTTERS  SET,81.0,2.7,89.1,100,37.8,138.0,972.0,220.0
3 TRADITIONAl BISCUIT CUTTERS  SET,88.92,2.964,40.77,46,41.5,88.0,1067.04,231.0
3 WHITE CHOC MORRIS BOXED CANDLES,98.22,3.274,149.36,168,45.84,214.0,1178.6399999999999,243.0
3 WICK CHRISTMAS BRIAR CANDLE ,2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
36 DOILIES DOLLY GIRL,75.42,2.5140000000000002,63.12,71,35.2,106.0,905.04,213.0
36 DOILIES VINTAGE CHRISTMAS,858.83,28.627666666666666,859.58,966,400.79,1367.0,10305.960000000001,718.0
36 FOIL HEART CAKE CASES,154.08,5.136,91.64,103,71.9,175.0,1848.96,304.0
36 FOIL STAR CAKE CASES ,77.31,2.577,71.52,80,36.08,116.0,927.72,215.0
36 PENCILS TUBE POSY,5.4,0.18000000000000002,3.21,4,2.52,7.0,64.80000000000001,57.0
36 PENCILS TUBE RED RETROSPOT,271.0,9.033333333333333,174.84,196,126.47,322.0,3252.0,403.0
36 PENCILS TUBE SKULLS,125.46,4.1819999999999995,89.85,101,58.55,160.0,1505.52,274.0
36 PENCILS TUBE WOODLAND,145.18,4.839333333333333,101.59,114,67.75,182.0,1742.16,295.0
3D CHRISTMAS STAMPS STICKERS ,153.57,5.119,133.27,150,71.67,222.0,1842.84,304.0
3D DOG PICTURE PLAYING CARDS,24.42,0.8140000000000001,22.83,26,11.4,37.0,293.04,121.0
3D HEARTS  HONEYCOMB PAPER GARLAND,32.67,1.089,22.92,26,15.25,41.0,392.04,140.0
3D SHEET OF CAT STICKERS,18.0,0.6,15.86,18,8.4,26.0,216.0,104.0
3D SHEET OF DOG STICKERS,22.67,0.7556666666666667,14.8,17,10.58,28.0,272.04,117.0
3D TRADITIONAL CHRISTMAS STICKERS,210.14,7.004666666666666,186.74,210,98.07,308.0,2521.68,355.0
3D VINTAGE CHRISTMAS STICKERS ,217.43,7.2476666666666665,203.74,229,101.47,330.0,2609.16,361.0
4 BLUE DINNER CANDLES SILVER FLOCK,7.82,0.26066666666666666,5.84,7,3.65,11.0,93.84,68.0
4 BURGUNDY WINE DINNER CANDLES,6.88,0.22933333333333333,8.77,10,3.21,13.0,82.56,64.0
4 IVORY DINNER CANDLES SILVER FLOCK,34.85,1.1616666666666666,32.08,36,16.26,52.0,418.20000000000005,145.0
4 LAVENDER BOTANICAL DINNER CANDLES,76.36,2.5453333333333332,135.93,153,35.63,189.0,916.3199999999999,214.0
4 LILY  BOTANICAL DINNER CANDLES,39.42,1.314,52.59,59,18.4,77.0,473.04,154.0
4 PEAR BOTANICAL DINNER CANDLES,68.64,2.288,130.89,147,32.03,179.0,823.6800000000001,203.0
4 PINK DINNER CANDLE SILVER FLOCK,11.45,0.38166666666666665,14.86,17,5.34,22.0,137.39999999999998,83.0
4 PINK FLOCK CHRISTMAS BALLS,7.4,0.24666666666666667,8.5,10,3.45,13.0,88.80000000000001,67.0
4 ROSE PINK DINNER CANDLES,15.33,0.511,14.73,17,7.15,24.0,183.96,96.0
4 SKY BLUE DINNER CANDLES,8.29,0.2763333333333333,3.77,4,3.87,8.0,99.47999999999999,71.0
4 TRADITIONAL SPINNING TOPS,345.46,11.515333333333333,185.42,208,161.21,369.0,4145.5199999999995,455.0
4 VANILLA BOTANICAL CANDLES,75.0,2.5,140.77,158,35.0,193.0,900.0,212.0
4 WILDFLOWER BOTANICAL CANDLES,30.3,1.01,38.13,43,14.14,57.0,363.6,135.0
5 HOOK HANGER MAGIC TOADSTOOL,210.33,7.011,226.0,254,98.15,352.0,2523.96,355.0
5 HOOK HANGER RED MAGIC TOADSTOOL,254.58,8.486,359.45,404,118.8,523.0,3054.96,391.0
5 STRAND GLASS NECKLACE AMBER,1.0,0.03333333333333333,0.0,0,0.47,0.0,12.0,24.0
5 STRAND GLASS NECKLACE AMETHYST,2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
5 STRAND GLASS NECKLACE BLACK,2.67,0.089,1.15,1,1.25,2.0,32.04,40.0
5 STRAND GLASS NECKLACE CRYSTAL,3.4,0.11333333333333333,1.95,2,1.59,4.0,40.8,45.0
50'S CHRISTMAS PAPER GIFT BAG,265.4,8.846666666666666,256.91,289,123.85,413.0,3184.7999999999997,399.0
50CM METAL STRING WITH  7 CLIPS,22.2,0.74,47.17,53,10.36,63.0,266.4,115.0
6 CHOCOLATE LOVE HEART T-LIGHTS,78.31,2.6103333333333336,94.93,107,36.54,144.0,939.72,217.0
6 EGG HOUSE PAINTED WOOD,19.85,0.6616666666666667,10.39,12,9.26,21.0,238.20000000000002,109.0
6 GIFT TAGS 50'S CHRISTMAS ,669.2,22.30666666666667,503.18,565,312.29,877.0,8030.400000000001,634.0
6 GIFT TAGS VINTAGE CHRISTMAS ,747.0,24.9,467.11,525,348.6,874.0,8964.0,669.0
6 RIBBONS ELEGANT CHRISTMAS ,173.89,5.796333333333333,179.75,202,81.15,283.0,2086.68,323.0
6 RIBBONS EMPIRE  ,79.62,2.6540000000000004,81.15,91,37.16,128.0,955.44,219.0
6 RIBBONS RUSTIC CHARM,661.92,22.064,284.68,320,308.9,629.0,7943.039999999999,630.0
6 RIBBONS SHIMMERING PINKS ,83.42,2.780666666666667,106.12,119,38.93,158.0,1001.04,224.0
6 ROCKET BALLOONS ,136.0,4.533333333333333,72.32,81,63.47,144.0,1632.0,286.0
60 CAKE CASES DOLLY GIRL DESIGN,557.46,18.582,259.21,291,260.15,551.0,6689.52,578.0
60 CAKE CASES VINTAGE CHRISTMAS,1473.5,49.11666666666667,1556.65,1749,687.63,2437.0,17682.0,940.0
60 GOLD AND SILVER FAIRY CAKE CASES,1.0,0.03333333333333333,0.0,0,0.47,0.0,12.0,24.0
60 TEATIME FAIRY CAKE CASES,1360.69,45.35633333333333,625.84,703,634.99,1338.0,16328.28,904.0
6PC WOOD PLATE SET DISPOSABLE,81.0,2.7,154.74,174,37.8,212.0,972.0,220.0
70'S ALPHABET WALL ART,75.0,2.5,103.24,116,35.0,151.0,900.0,212.0
72 CAKE CASES VINTAGE CHRISTMAS,24.0,0.8,,0,11.2,11.0,288.0,120.0
72 SWEETHEART FAIRY CAKE CASES,1005.38,33.51266666666667,482.78,543,469.18,1012.0,12064.56,777.0
75 BLACK PETIT FOUR CASES,9.5,0.31666666666666665,7.37,8,4.43,12.0,114.0,75.0
75 GREEN FAIRY CAKE CASES,3.5,0.11666666666666667,2.73,3,1.63,5.0,42.0,46.0
75 GREEN PETIT FOUR CASES,23.46,0.782,16.07,18,10.95,29.0,281.52,119.0
A PRETTY THANK YOU CARD,219.0,7.3,173.95,195,102.2,297.0,2628.0,362.0
A4 WALL TIDY BLUE OFFICE,22.8,0.76,23.34,26,10.64,37.0,273.6,117.0
A4 WALL TIDY RED FLOWERS,4.33,0.14433333333333334,3.51,4,2.02,6.0,51.96,51.0
ABC TREASURE BOOK BOX ,209.0,6.966666666666667,160.75,181,97.53,279.0,2508.0,354.0
ABSTRACT CIRCLE JOURNAL ,9.0,0.3,11.19,13,4.2,17.0,108.0,73.0
ABSTRACT CIRCLES POCKET BOOK,12.38,0.4126666666666667,8.66,10,5.78,16.0,148.56,86.0
ABSTRACT CIRCLES SKETCHBOOK ,9.85,0.3283333333333333,4.72,5,4.6,10.0,118.19999999999999,77.0
ACRYLIC GEOMETRIC LAMP,2.4,0.08,0.55,1,1.12,2.0,28.799999999999997,38.0
"ACRYLIC HANGING JEWEL,BLUE",67.0,2.2333333333333334,40.96,46,31.27,77.0,804.0,200.0
"ACRYLIC HANGING JEWEL,PINK",31.67,1.0556666666666668,16.26,18,14.78,33.0,380.04,138.0
"ACRYLIC JEWEL ANGEL,PINK",78.0,2.6,,0,36.4,36.0,936.0,216.0
"ACRYLIC JEWEL ICICLE, BLUE",10.33,0.3443333333333333,12.1,14,4.82,19.0,123.96000000000001,79.0
"ACRYLIC JEWEL ICICLE, PINK",52.8,1.76,48.82,55,24.64,80.0,633.5999999999999,178.0
"ACRYLIC JEWEL SNOWFLAKE, PINK",54.0,1.8,56.24,63,25.2,88.0,648.0,180.0
"ACRYLIC JEWEL SNOWFLAKE,PINK",6.0,0.2,,0,2.8,3.0,72.0,60.0
ADULT APRON APPLE DELIGHT,36.0,1.2,19.99,22,16.8,39.0,432.0,147.0
ADVENT CALENDAR GINGHAM SACK,92.89,3.0963333333333334,121.16,136,43.35,179.0,1114.68,236.0
AFGHAN SLIPPER SOCK PAIR,73.0,2.433333333333333,158.02,178,34.07,212.0,876.0,209.0
AGED GLASS SILVER T-LIGHT HOLDER,776.0,25.866666666666667,403.5,453,362.13,815.0,9312.0,682.0
AIRLINE BAG VINTAGE JET SET BROWN,19.46,0.6486666666666667,13.77,15,9.08,24.0,233.52,108.0
AIRLINE BAG VINTAGE JET SET RED,34.46,1.1486666666666667,21.2,24,16.08,40.0,413.52,144.0
AIRLINE BAG VINTAGE JET SET WHITE,14.85,0.495,9.99,11,6.93,18.0,178.2,94.0
AIRLINE BAG VINTAGE TOKYO 78,63.85,2.1283333333333334,33.44,38,29.8,68.0,766.2,196.0
AIRLINE BAG VINTAGE WORLD CHAMPION ,17.0,0.5666666666666667,12.68,14,7.93,22.0,204.0,101.0
"AIRLINE LOUNGE,METAL SIGN",38.23,1.2743333333333333,14.29,16,17.84,34.0,458.76,151.0
ALARM CLOCK BAKELIKE CHOCOLATE,136.62,4.554,79.44,89,63.76,153.0,1639.44,286.0
ALARM CLOCK BAKELIKE GREEN,470.08,15.669333333333332,226.56,255,219.37,474.0,5640.96,531.0
ALARM CLOCK BAKELIKE IVORY,209.85,6.995,140.43,158,97.93,256.0,2518.2,355.0
ALARM CLOCK BAKELIKE ORANGE,198.36,6.612,114.53,129,92.57,222.0,2380.32,345.0
ALARM CLOCK BAKELIKE PINK,390.31,13.010333333333334,296.08,333,182.14,515.0,4683.72,484.0
ALARM CLOCK BAKELIKE RED ,555.46,18.515333333333334,299.25,336,259.21,595.0,6665.52,577.0
ALPHABET HEARTS STICKER SHEET,33.73,1.1243333333333332,32.85,37,15.74,53.0,404.76,142.0
ALPHABET STENCIL CRAFT,205.62,6.854,274.27,308,95.96,404.0,2467.44,351.0
ALUMINIUM HEART,10.0,0.3333333333333333,6.93,8,4.67,13.0,120.0,77.0
ALUMINIUM STAMPED HEART,86.11,2.8703333333333334,48.62,55,40.18,95.0,1033.32,227.0
AMBER BERTIE GLASS BEAD BAG CHARM,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
AMBER CHUNKY BEAD BRACELET W STRAP,2.67,0.089,2.08,2,1.25,3.0,32.04,40.0
AMBER CHUNKY GLASS+BEAD NECKLACE,2.0,0.06666666666666667,1.73,2,0.93,3.0,24.0,35.0
AMBER DIAMANTE EXPANDABLE RING,5.5,0.18333333333333332,4.8,5,2.57,8.0,66.0,57.0
AMBER DROP EARRINGS W LONG BEADS,6.67,0.22233333333333333,9.81,11,3.11,14.0,80.03999999999999,63.0
AMBER FINE BEAD NECKLACE W TASSEL,1.5,0.05,0.71,1,0.7,2.0,18.0,30.0
AMBER GLASS TASSLE BAG CHARM,8.0,0.26666666666666666,,0,3.73,4.0,96.0,69.0
AMBER GLASS/SHELL/PEARL NECKLACE,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
AMBER GLASS/SILVER BRACELET,2.0,0.06666666666666667,1.0,1,0.93,2.0,24.0,35.0
AMETHYST CHUNKY BEAD BRACELET W STR,2.62,0.08733333333333333,2.2,2,1.22,3.0,31.44,40.0
AMETHYST DIAMANTE EXPANDABLE RING,4.33,0.14433333333333334,2.89,3,2.02,5.0,51.96,51.0
AMETHYST HOOP EARRING FLORAL LEAF,2.5,0.08333333333333333,0.71,1,1.17,2.0,30.0,39.0
ANGEL DECORATION 3 BUTTONS ,441.5,14.716666666666667,394.44,443,206.03,649.0,5298.0,515.0
ANGEL DECORATION PAINTED ZINC ,105.83,3.5276666666666667,100.31,113,49.39,162.0,1269.96,252.0
ANGEL DECORATION STARS ON DRESS,273.22,9.107333333333335,263.88,297,127.5,424.0,3278.6400000000003,405.0
ANGEL DECORATION WITH LACE PADDED,106.0,3.533333333333333,38.18,43,49.47,92.0,1272.0,252.0
ANIMAL STICKERS,136.38,4.546,90.34,102,63.64,166.0,1636.56,286.0
ANIMALS AND NATURE WALL ART,133.5,4.45,163.34,184,62.3,246.0,1602.0,283.0
ANT COPPER LIME BOUDICCA BRACELET,5.0,0.16666666666666666,4.33,5,2.33,7.0,60.0,55.0
ANT COPPER PINK BOUDICCA BRACELET,4.43,0.14766666666666667,2.88,3,2.07,5.0,53.16,52.0
ANT COPPER RED BOUDICCA BRACELET,1.5,0.05,0.84,1,0.7,2.0,18.0,30.0
ANT COPPER TURQ BOUDICCA BRACELET,5.62,0.18733333333333332,3.96,4,2.62,7.0,67.44,58.0
ANT SILVER FUSCHIA BOUDICCA RING,2.8,0.09333333333333332,0.84,1,1.31,2.0,33.599999999999994,41.0
ANT SILVER LIME GREEN BOUDICCA RING,3.86,0.12866666666666665,3.8,4,1.8,6.0,46.32,48.0
ANT SILVER PURPLE BOUDICCA RING,3.33,0.111,0.58,1,1.55,3.0,39.96,45.0
ANT SILVER TURQUOISE BOUDICCA RING,6.0,0.2,,0,2.8,3.0,72.0,60.0
ANT WHITE WIRE HEART SPIRAL,22.0,0.7333333333333333,16.3,18,10.27,28.0,264.0,115.0
ANTIQUE ALL GLASS CANDLESTICK,51.55,1.7183333333333333,39.64,45,24.06,69.0,618.5999999999999,176.0
ANTIQUE CREAM CUTLERY CUPBOARD,1.75,0.058333333333333334,0.89,1,0.82,2.0,21.0,32.0
ANTIQUE CREAM CUTLERY SHELF ,3.11,0.10366666666666666,1.36,2,1.45,3.0,37.32,43.0
ANTIQUE GLASS DRESSING TABLE POT,126.38,4.212666666666666,65.36,73,58.98,132.0,1516.56,275.0
ANTIQUE GLASS HEART DECORATION ,49.33,1.6443333333333332,96.9,109,23.02,132.0,591.96,172.0
ANTIQUE GLASS PEDESTAL BOWL,68.46,2.2819999999999996,34.29,39,31.95,71.0,821.52,203.0
ANTIQUE GLASS PLACE SETTING,24.4,0.8133333333333332,11.7,13,11.39,24.0,292.79999999999995,121.0
ANTIQUE HEART SHELF UNIT,89.0,2.966666666666667,62.27,70,41.53,112.0,1068.0,231.0
ANTIQUE IVORY WIRE BOWL SMALL,16.17,0.539,17.66,20,7.55,28.0,194.04000000000002,98.0
ANTIQUE MID BLUE FLOWER EARRINGS,2.0,0.06666666666666667,0.0,0,0.93,1.0,24.0,35.0
ANTIQUE OLIVE GREEN FLOWER EARRINGS,1.67,0.05566666666666666,0.58,1,0.78,2.0,20.04,32.0
ANTIQUE OPAL WHITE FLOWER EARRINGS,1.0,0.03333333333333333,0.0,0,0.47,0.0,12.0,24.0
ANTIQUE RASPBERRY FLOWER EARRINGS,2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
ANTIQUE SILVER BAUBLE LAMP  ,53.43,1.781,50.54,57,24.93,82.0,641.16,179.0
ANTIQUE SILVER T-LIGHT GLASS,1297.3,43.24333333333333,705.12,792,605.41,1397.0,15567.599999999999,882.0
ANTIQUE SILVER TEA GLASS ENGRAVED,636.38,21.212666666666667,394.01,443,296.98,740.0,7636.5599999999995,618.0
ANTIQUE SILVER TEA GLASS ETCHED,700.0,23.333333333333332,467.63,525,326.67,852.0,8400.0,648.0
ANTIQUE TALL SWIRLGLASS TRINKET POT,58.85,1.9616666666666667,48.79,55,27.46,82.0,706.2,188.0
APOTHECARY MEASURING JAR,10.67,0.3556666666666667,3.88,4,4.98,9.0,128.04,80.0
APPLE BATH SPONGE,91.83,3.061,88.12,99,42.85,142.0,1101.96,235.0
APRON APPLE DELIGHT,29.78,0.9926666666666667,19.72,22,13.9,36.0,357.36,134.0
APRON MODERN VINTAGE COTTON,63.29,2.1096666666666666,75.47,85,29.54,115.0,759.48,195.0
AQUA BERTIE GLASS BEAD BAG CHARM,6.33,0.211,5.51,6,2.95,9.0,75.96000000000001,62.0
AREA PATROLLED METAL SIGN,330.0,11.0,140.37,158,154.0,312.0,3960.0,445.0
ARMY CAMO BOOKCOVER TAPE,4.25,0.14166666666666666,0.5,1,1.98,3.0,51.0,50.0
"ART LIGHTS,FUNK MONKEY",29.58,0.986,23.75,27,13.8,41.0,354.96,133.0
ASS COL CIRCLE MOBILE ,79.0,2.6333333333333333,173.12,195,36.87,232.0,948.0,218.0
ASS COL LARGE SAND FROG P'WEIGHT,13.5,0.45,6.36,7,6.3,13.0,162.0,90.0
ASS COL SMALL SAND GECKO P'WEIGHT,14.5,0.48333333333333334,3.54,4,6.77,11.0,174.0,93.0
ASS COLOUR GLOWING TIARAS,28.0,0.9333333333333333,39.32,44,13.07,57.0,336.0,130.0
ASS DES PHONE SPONGE CRAFT STICKER,85.17,2.839,79.93,90,39.75,130.0,1022.04,226.0
ASS FLORAL PRINT MULTI SCREWDRIVER,229.5,7.65,182.19,205,107.1,312.0,2754.0,371.0
ASS FLORAL PRINT SPIRIT LEVEL ,8.0,0.26666666666666666,12.63,14,3.73,18.0,96.0,69.0
ASSORTED BOTTLE TOP  MAGNETS ,225.23,7.507666666666666,137.16,154,105.11,259.0,2702.7599999999998,368.0
ASSORTED CAKES FRIDGE MAGNETS,9.17,0.30566666666666664,6.01,7,4.28,11.0,110.03999999999999,74.0
ASSORTED CHEESE FRIDGE MAGNETS,27.17,0.9056666666666667,23.45,26,12.68,39.0,326.04,128.0
ASSORTED CIRCULAR MOBILE,58.64,1.9546666666666668,140.54,158,27.37,185.0,703.6800000000001,188.0
ASSORTED COLOUR BIRD ORNAMENT,2720.15,90.67166666666667,1501.63,1687,1269.4,2956.0,32641.800000000003,1278.0
ASSORTED COLOUR LIZARD SUCTION HOOK,75.0,2.5,59.54,67,35.0,102.0,900.0,212.0
ASSORTED COLOUR METAL CAT ,11.5,0.38333333333333336,9.25,10,5.37,15.0,138.0,83.0
ASSORTED COLOUR MINI CASES,132.23,4.407666666666667,71.12,80,61.71,142.0,1586.7599999999998,282.0
ASSORTED COLOUR SILK GLASSES CASE,3.0,0.1,,0,1.4,1.0,36.0,42.0
ASSORTED COLOUR SUCTION CUP HOOK,22.44,0.748,20.73,23,10.47,33.0,269.28000000000003,116.0
ASSORTED COLOUR T-LIGHT HOLDER,258.54,8.618,492.97,554,120.65,675.0,3102.4800000000005,394.0
ASSORTED COLOURED CIRCLE MOBILE ,16.25,0.5416666666666666,21.23,24,7.58,32.0,195.0,99.0
ASSORTED COLOURS SILK FAN,1682.77,56.092333333333336,1305.53,1467,785.29,2252.0,20193.239999999998,1005.0
ASSORTED CREEPY CRAWLIES,216.58,7.219333333333334,131.91,148,101.07,249.0,2598.96,360.0
ASSORTED EASTER DECORATIONS  BELLS,70.5,2.35,98.32,110,32.9,143.0,846.0,206.0
ASSORTED EASTER GIFT TAGS,165.14,5.504666666666666,162.69,183,77.07,260.0,1981.6799999999998,315.0
ASSORTED FARMYARD ANIMALS IN BUCKET,21.5,0.7166666666666667,17.69,20,10.03,30.0,258.0,114.0
"ASSORTED FLOWER COLOUR ""LEIS""",792.08,26.40266666666667,525.69,591,369.64,961.0,9504.960000000001,689.0
ASSORTED INCENSE PACK,366.55,12.218333333333334,446.7,502,171.06,673.0,4398.6,469.0
ASSORTED LAQUERED INCENSE HOLDERS,359.43,11.981,610.52,686,167.73,854.0,4313.16,464.0
ASSORTED MINI MADRAS NOTEBOOK,118.5,3.95,193.54,217,55.3,272.0,1422.0,267.0
ASSORTED MONKEY SUCTION CUP HOOK,42.69,1.4229999999999998,47.96,54,19.92,74.0,512.28,160.0
ASSORTED SANSKRIT MINI NOTEBOOK,21.8,0.7266666666666667,14.7,17,10.17,27.0,261.6,114.0
ASSORTED SHAPES PHOTO CLIP SILVER ,44.88,1.496,100.73,113,20.94,134.0,538.5600000000001,164.0
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,45.08,1.5026666666666666,48.16,54,21.04,75.0,540.96,164.0
ASSORTED TUTTI FRUTTI BRACELET,219.7,7.323333333333333,130.37,147,102.53,250.0,2636.3999999999996,363.0
ASSORTED TUTTI FRUTTI HEART BOX,19.55,0.6516666666666667,17.9,20,9.12,29.0,234.60000000000002,108.0
ASSORTED TUTTI FRUTTI KEYRING BALL,137.75,4.591666666666667,215.91,243,64.28,307.0,1653.0,287.0
ASSORTED TUTTI FRUTTI LARGE PURSE,14.62,0.4873333333333333,12.37,14,6.82,21.0,175.44,94.0
ASSORTED TUTTI FRUTTI MIRROR,40.83,1.361,31.05,35,19.05,54.0,489.96,157.0
ASSORTED TUTTI FRUTTI NOTEBOOK,23.5,0.7833333333333333,20.71,23,10.97,34.0,282.0,119.0
ASSORTED TUTTI FRUTTI PEN,222.91,7.4303333333333335,274.89,309,104.02,413.0,2674.92,366.0
ASSORTED TUTTI FRUTTI SMALL PURSE,59.45,1.9816666666666667,65.91,74,27.74,102.0,713.4000000000001,189.0
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,75.83,2.5276666666666667,77.66,87,35.39,122.0,909.96,213.0
